qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;QKfz;Statusflag;QPkw;Statusflag;QLkw;Statusflag;VKfz;Statusflag;VPkw;Statusflag;VLkw;Statusflag
296940;1 Intp ;63300;0,9409 Intp ;;;271200;1 Intp ;60180;0,9409 Intp ;;;25740;1 Intp ;3120;0,97 Intp ;;;87;1 Intp ;64;1;;;95;1 Intp ;64;1;;;6;1 Intp ;89;0,97 Intp ;;;264552;0,982 Intp ;61860;0,97045 Intp ;313944;0,982 Intp ;245148;0,976 Intp ;57630;0,95545 Intp ;291432;0,982 Intp ;19404;0,976 Intp ;4230;0,97 Intp ;22512;0,982 Intp ;80;0,994 Intp ;110;0,985 Intp ;89;0,994 Intp ;96;1 Intp ;146;1 Intp ;90;0,994 Intp ;46;1 Intp ;75;0,985 Intp ;45;1;640356;0,97815;594210;0,97115;46146;0,976;93;0,991;111;0,998;55;0,995
60420;1;60420;1 Intp ;;;55080;0,97 Intp ;55080;0,97 Intp ;;;5340;0,97 Intp ;5340;0,97 Intp ;;;157;0,97 Intp ;157;0,97 Intp ;;;227;1;227;1 Intp ;;;61;1;61;1 Intp ;;;221868;0,976 Intp ;121740;0,97 Intp ;225816;0,988 Intp ;211548;0,976 Intp ;120180;0,97 Intp ;214248;0,988 Intp ;10320;0,976 Intp ;1560;0,97 Intp ;11568;0,988 Intp ;75;0,994 Intp ;52;1 Intp ;58;0,994 Intp ;74;0,994 Intp ;53;1 Intp ;56;0,994 Intp ;51;1 Intp ;50;1 Intp ;72;1;569424;0,978;545976;0,978;23448;0,978;62;0,996;61;0,996;58;1
323160;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;299820;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;23340;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;22;1 Intp ;-3;0 Fehl nErm ;;;19;1 Intp ;-3;0 Fehl nErm ;;;76;1 Intp ;-3;0 Fehl nErm ;;;276624;0,97018 Intp ;45148;0,97045 Intp wMaL ;259752;0,982 Intp ;262692;0,97018 Intp ;42148;0,95545 Intp wMaL ;244932;0,982 Intp ;13932;0,976 Intp ;2998;0,97 Intp wMaL ;14820;0,982 Intp ;68;1 Intp ;112;1;60;1;69;1 Intp ;116;1;60;1;46;0,8 Intp ;65;0,985 Intp ;58;1;581524;0,97421;549772;0,96921;31750;0,976;80;1;82;1;56;0,928333333
326460;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;299820;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;26640;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;63;1 Intp ;-3;0 Fehl nErm ;;;62;1 Intp ;-3;0 Fehl nErm ;;;79;1 Intp ;-3;0 Fehl nErm ;;;192288;0,994 Intp ;61500;0,95545 Intp ;192288;0,994 Intp ;179148;0,994 Intp ;60180;0,95545 Intp ;179148;0,994 Intp ;13140;0,994 Intp ;1320;0,97 Intp ;13140;0,994 Intp ;98;1 Intp ;80;0,985 Intp ;98;1;91;1 Intp ;98;0,985 Intp ;91;1;54;1 Intp ;80;0,985 Intp ;54;1;446076;0,98115;418476;0,98115;27600;0,986;92;0,995;93;0,995;63;0,995
315780;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;299820;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;15960;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;73;1 Intp ;-3;0 Fehl nErm ;;;75;1 Intp ;-3;0 Fehl nErm ;;;8;1 Intp ;-3;0 Fehl nErm ;;;279958;1 Intp ;-3;0 Fehl nErm;279958;1;265738;1 Intp ;-3;0 Fehl nErm;265738;1;14218;1 Intp ;-3;0 Fehl nErm ;14218;1;100;1 Intp ;-3;0 Fehl nErm;100;1;98;1 Intp ;-3;0 Fehl nErm ;98;1;46;1 Intp ;-3;0 Fehl nErm ;46;1;839874;0,666666667;797214;0,666666667;42654;0,666666667;100;0,666666667;98;0,666666667;46;0,666666667
120540;0,97 Intp ;120540;0,97 Intp ;;;120180;0,97 Intp ;120180;0,97 Intp ;;;360;0,97 Intp ;360;0,97 Intp ;;;20;1;20;1 Intp ;;;20;1;20;1 Intp ;;;66;1;66;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321240;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;299820;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;21420;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;199;0,97 Intp ;-3;0 Fehl nErm ;;;197;0,97 Intp ;-3;0 Fehl nErm ;;;17;1 Intp ;-3;0 Fehl nErm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122940;0,97 Intp ;122940;0,97 Intp ;;;120180;0,97 Intp ;120180;0,97 Intp ;;;2760;0,97 Intp ;2760;0,97 Intp ;;;85;1;85;1 Intp ;;;86;1;86;1 Intp ;;;35;1;35;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321840;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;299820;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;22020;0,97 Intp ;-3;0 Fehl wMaL nErm ;;;62;1 Intp ;-3;0 Fehl nErm ;;;64;1 Intp ;-3;0 Fehl nErm ;;;30;1 Intp ;-3;0 Fehl nErm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222780;1 Intp ;-3;0 Fehl wMaL nErm ;;;217740;1 Intp ;-3;0 Fehl wMaL nErm ;;;5040;1 Intp ;-3;0 Fehl wMaL nErm ;;;7;1 Intp ;-3;0 Fehl nErm ;;;5;1 Intp ;-3;0 Fehl nErm ;;;105;1 Intp ;-3;0 Fehl nErm ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
